Titles,Prod,Fctr,HhldCrt,NfinCrt,Fin_Crt,GvntCrt,ExtlCrt,HhldCpl,NFinCpl,Fin_Cpl,GvntCpl,ExtlCpl,ErrOmm,Total
Prod,1.57E+06,0,871759.2686,0,0,366544.353,459367.7583,127887.415,166449.7403,9251.458258,60884.12885,0,0,3.63E+06
Fctr,1.76E+06,0,0,0,0,0,0,0,0,0,0,0,0,1.76E+06
HhldCrt,0,1.21E+06,13227.66248,38220.02717,183906.6855,170229.9183,18069.76076,0,0,0,0,0,0,1.63E+06
NfinCrt,0,393449,11393.26778,5066.251444,12590.47235,3474.079682,4002.928746,0,0,0,0,0,0,429976
Fin_Crt,0,108194,113652.4274,60117.6456,36354.67912,4076.713142,36206.94095,0,0,0,0,0,0,358602.4062
GvntCrt,93013.6408,41396,320525.8165,106560.2547,43184.22857,15928.25654,5126.501839,8461.840642,11055.60539,562.480479,4042.374586,0,0,649857.0001
ExtlCrt,211026.4816,8694,134408.6115,58130.20789,36771.34065,18591.67939,11430.33837,24610.95165,28518.65426,2154.061263,13998.90241,0,0,548335.229
HhldCpl,0,0,165058,0,0,0,0,7649.029778,14222.77908,23258.27022,13234.15091,13126.28642,0,236548.5164
NFinCpl,0,0,0,161881.6132,0,0,0,21433.89212,55631.46877,34871.96187,49457.64026,32338.60628,0,355615.1824
Fin_Cpl,0,0,0,0,45795,0,0,72500.10204,36701.31913,-27706.65524,-25470.37486,-25019.01799,0,76800.37307
GvntCpl,0,0,0,0,0,71012,0,46188.95171,16642.99565,10806.69727,7700.619393,-39491.58661,0,112859.6774
ExtlCpl,0,0,0,0,0,0,14131,32897.60426,-15832.56213,-26955.25418,-28487.11662,0,0,-24246.32867
ErrOmm,0,0,0,0,0,0,0,-105081.2708,42225.18195,50557.35315,17499.35249,-5200.616772,0,0
Total,3.63E+06,1.76E+06,1.63E+06,429976,358602.4062,649857.0001,548335.229,236548.5164,355615.1824,76800.37307,112859.6774,-24246.32867,0,9.76E+06
