Titles,Prod,Fctr,HhldCrt,NfinCrt,Fin_Crt,GvntCrt,ExtlCrt,HhldCpl,NFinCpl,Fin_Cpl,GvntCpl,ExtlCpl,ErrOmm,Total,Diff
Prod,1.5696238776e6,0.0,871759.2686,0.0,0.0,365771.1181,459367.7583,128544.58207481839,166449.740349487,9251.458257923221,61000.196636844325,0.0,0.0,3.6317679999190727e6,-8.092774078249931e-5
Fctr,1.758104e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.758104e6,0.0
HhldCrt,0.0,1.206371e6,13227.662477097212,36070.08596088433,183906.6855026076,172378.8052965416,18069.760762919235,0.0,0.0,0.0,0.0,0.0,0.0,1.63002400000005e6,-1.054224762134254
NfinCrt,0.0,393449.0,11393.267775439681,11055.584777706303,12590.472352423783,3474.079681598861,6391.595412871373,0.0,0.0,0.0,0.0,0.0,0.0,438354.00000004,0.7760963582550175
Fin_Crt,0.0,108194.0,113652.42738955846,62058.86173454178,36354.67912230711,5179.924139657615,38184.107613985056,0.0,0.0,0.0,0.0,0.0,0.0,363624.00000005006,0.5938018969027326
GvntCrt,93013.6408,41396.0,320525.81650002,106560.25474636532,43184.22857055148,15928.25654403846,5126.501839024739,8461.840641923003,11055.605387885695,562.4804790151039,4042.3745857411027,0.0,0.0,649857.0000945649,1525.9132850035094
ExtlCrt,211026.4816,8694.0,134408.61148269678,65645.43668418398,41792.34065026317,14586.903047724823,24089.50503517123,22036.577283258608,28518.65426262734,2154.061263061677,10883.428777414583,0.0,0.0,563836.0000864023,-1524.2288775694324
HhldCpl,0.0,0.0,165058.0,0.0,0.0,0.0,0.0,7649.029778131832,14222.779078610716,23258.27021710514,13234.150906853301,13126.286415745326,0.0,236548.5163964463,182.52357658391702
NFinCpl,0.0,0.0,0.0,156963.0,0.0,0.0,0.0,22685.509137421956,55631.468767224156,34871.96186708916,50168.15800729926,32681.89322885106,0.0,353001.9910078856,-2613.1914411650505
Fin_Cpl,0.0,0.0,0.0,0.0,45795.0,0.0,0.0,72983.16874581476,36701.319127079354,-27706.65524272014,-25528.407422213288,-25444.281352222595,0.0,76800.1438557381,-0.22921771212713793
GvntCpl,0.0,0.0,0.0,0.0,0.0,71012.0,0.0,46188.95170902301,16642.99564759059,10806.697271001856,7700.6193930780055,-39491.58661094149,0.0,112859.67740975194,2346.9206611641275
ExtlCpl,0.0,0.0,0.0,0.0,0.0,0.0,14131.0,32897.604264903974,-15832.562125803117,-26955.254184752434,-28487.116623960424,-4.1503327864890797e-13,0.0,-24246.328669612,81.97642112918038
ErrOmm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-105081.2708154331,42225.181954349,50557.35314572665,17499.352487530938,-5200.61677217348,0.0,1.8189894035458565e-12,1.8189894035458565e-12
Total,3.6317680000000005e6,1.758104e6,1.6300250542248122e6,438353.22390368173,363623.40619815316,648331.0868095614,565360.2289639717,236365.99281986238,355615.18244905066,76800.37307345023,110512.75674858781,-24328.30509074118,0.0,0.0,0.0
Diff,8.092774078249931e-5,0.0,1.054224762134254,-0.7760963582550175,-0.5938018969027326,-1525.9132850035094,1524.2288775694324,-182.52357658391702,2613.1914411650505,0.22921771212713793,-2346.9206611641275,-81.97642112918038,-1.8189894035458565e-12,0.0,0.0
